Thickness,Band Gap,Electron Affinity,Dielectric Permittivity,Acceptor Density,Defect Density,Electron Mobility,Hole Mobility,Actual_Efficiency,Predicted_Efficiency
1.5,1.6,4.2,14,1000000000000000.0,100000000000000,0.00011,0.00012,0.11,0.35628128
0.5,1.4,3.7,14,1000000000000000.0,100000000000000,0.011,0.00012,0.87,0.6384231
0.5,1.6,3.7,14,1e+20,100000000000000,0.011,0.012,22.48,22.503162
1.5,1.6,3.7,14,1e+20,100000000000000,0.011,0.00012,22.06,22.05366
0.5,1.6,4.2,54,1000000000000000.0,100000000000000,0.00011,0.012,10.78,10.965397
1.5,1.4,4.2,54,1e+20,10000000000,0.00011,0.012,38.44,37.875443
1.5,1.6,4.2,54,1000000000000000.0,10000000000,0.011,0.00012,25.2,25.214203
1.5,1.4,4.2,14,1000000000000000.0,100000000000000,0.011,0.012,8.6,8.597652
0.5,1.4,3.7,14,1e+20,10000000000,0.00011,0.012,32.19,32.14434
0.5,1.4,3.7,54,1e+20,100000000000000,0.011,0.00012,25.14,25.100428
1.5,1.4,4.2,54,1000000000000000.0,100000000000000,0.00011,0.00012,0.11,0.7888216
1.5,1.6,3.7,54,1e+20,100000000000000,0.011,0.00012,22.1,22.07141
1.5,1.6,4.2,14,1000000000000000.0,100000000000000,0.011,0.00012,7.73,7.7838955
1.5,1.6,3.7,54,1e+20,10000000000,0.00011,0.012,29.38,29.511559
1.5,1.4,3.7,14,1e+20,10000000000,0.00011,0.00012,32.89,32.53714
0.5,1.6,3.7,14,1000000000000000.0,100000000000000,0.00011,0.00012,0.99,0.9796364
1.5,1.6,3.7,14,1000000000000000.0,100000000000000,0.011,0.012,10.12,9.162334
0.5,1.4,3.7,14,1e+20,100000000000000,0.011,0.012,25.08,25.09457
0.5,1.6,4.2,14,1000000000000000.0,10000000000,0.00011,0.00012,27.53,27.15487
0.5,1.4,3.7,54,1e+20,10000000000,0.00011,0.00012,31.69,32.135662
1.5,1.6,4.2,14,1e+20,10000000000,0.011,0.012,30.48,30.5098
0.5,1.4,3.7,54,1000000000000000.0,10000000000,0.011,0.012,29.59,28.903126
0.5,1.6,4.2,54,1e+20,10000000000,0.00011,0.00012,28.64,28.61358
1.5,1.4,3.7,54,1e+20,10000000000,0.00011,0.00012,32.49,32.465397
0.5,1.4,4.2,14,1000000000000000.0,10000000000,0.00011,0.012,35.59,35.802063
0.5,1.6,4.2,54,1e+20,100000000000000,0.00011,0.00012,7.78,7.7859373
1.5,1.6,4.2,54,1e+20,100000000000000,0.00011,0.012,7.79,7.7912574
1.5,1.6,3.7,54,1000000000000000.0,10000000000,0.00011,0.00012,9.1,9.286467
0.5,1.4,3.7,14,1e+20,10000000000,0.011,0.00012,32.8,32.798885
1.5,1.4,4.2,14,1000000000000000.0,100000000000000,0.00011,0.00012,0.11,0.7996059
1.5,1.4,4.2,54,1e+20,10000000000,0.00011,0.00012,38.56,37.910553
0.5,1.6,4.2,14,1000000000000000.0,10000000000,0.00011,0.012,25.57,25.873152
1.5,1.4,3.7,54,1000000000000000.0,100000000000000,0.00011,0.00012,0.11,1.1248574
1.5,1.4,4.2,54,1e+20,100000000000000,0.011,0.00012,27.12,27.157057
1.5,1.6,3.7,54,1e+20,100000000000000,0.011,0.012,22.08,22.060635
0.5,1.4,3.7,54,1e+20,10000000000,0.00011,0.012,31.68,32.176743
0.5,1.6,3.7,54,1000000000000000.0,100000000000000,0.011,0.00012,1.45,1.8111397
0.5,1.4,3.7,54,1000000000000000.0,10000000000,0.011,0.00012,8.71,8.084314
0.5,1.6,3.7,14,1e+20,10000000000,0.011,0.012,29.87,29.846731
1.5,1.4,3.7,14,1e+20,10000000000,0.00011,0.012,32.93,32.48262
1.5,1.6,3.7,14,1000000000000000.0,100000000000000,0.00011,0.00012,0.14,0.57957494
1.5,1.4,4.2,54,1000000000000000.0,10000000000,0.00011,0.00012,32.4,32.9238
1.5,1.6,4.2,14,1e+20,100000000000000,0.011,0.012,23.92,23.854797
1.5,1.4,4.2,54,1000000000000000.0,100000000000000,0.00011,0.012,7.36,7.6476655
0.5,1.4,4.2,14,1e+20,100000000000000,0.00011,0.012,9.26,9.261143
0.5,1.6,3.7,14,1000000000000000.0,10000000000,0.011,0.00012,7.2,7.7922173
0.5,1.4,3.7,54,1000000000000000.0,10000000000,0.00011,0.00012,16.01,16.0641
0.5,1.6,3.7,14,1000000000000000.0,10000000000,0.011,0.012,26.54,26.065748
1.5,1.6,3.7,54,1000000000000000.0,100000000000000,0.011,0.012,10.37,9.087279
1.5,1.6,3.7,14,1e+20,10000000000,0.00011,0.012,29.7,29.676546
1.5,1.4,4.2,54,1000000000000000.0,10000000000,0.00011,0.012,36.52,36.654636
0.5,1.4,4.2,14,1000000000000000.0,100000000000000,0.011,0.00012,15.37,15.797365
