Thickness,Bandgap,Electron affinity,Dielectric permittivity ,Electron mobility,Hole mobility,Donor density,Defect density,Actual_Efficiency,Predicted_Efficiency
0.1,3.4,4.1,5,50,50,1e+16,10000000000000,32.56,32.560253
0.01,3.2,3.9,5,50,50,1e+20,10000000000000,32.7,32.700356
0.01,3.4,3.9,5,150,50,1e+20,100000000000000000,32.7,32.699776
0.1,3.4,3.9,5,150,50,1e+20,10000000000000,32.7,32.698677
0.01,3.4,4.1,20,50,50,1e+16,100000000000000000,32.49,32.499725
0.1,3.2,4.1,20,150,5,1e+16,100000000000000000,32.49,32.496548
0.1,3.4,4.1,20,50,5,1e+20,10000000000000,32.75,32.750843
0.1,3.2,4.1,5,50,50,1e+20,100000000000000000,32.75,32.750175
0.01,3.2,3.9,5,150,5,1e+16,100000000000000000,32.71,32.709908
0.01,3.2,3.9,20,150,50,1e+20,10000000000000,32.65,32.64995
0.1,3.2,4.1,20,50,50,1e+16,10000000000000,32.59,32.58871
0.1,3.4,3.9,20,150,50,1e+20,10000000000000,32.65,32.65039
0.1,3.4,4.1,5,50,50,1e+20,10000000000000,32.76,32.758358
0.1,3.4,3.9,20,150,5,1e+16,100000000000000000,32.69,32.689903
0.1,3.2,3.9,5,150,5,1e+16,10000000000000,32.72,32.719864
0.01,3.4,3.9,5,50,50,1e+16,10000000000000,32.71,32.709797
0.1,3.4,3.9,5,50,50,1e+20,100000000000000000,32.69,32.690216
0.01,3.2,3.9,5,150,50,1e+20,100000000000000000,32.7,32.699776
0.01,3.4,4.1,5,50,5,1e+16,10000000000000,32.52,32.52021
0.01,3.2,3.9,20,150,5,1e+16,10000000000000,32.68,32.680153
0.1,3.4,4.1,5,150,5,1e+20,100000000000000000,32.68,32.67966
0.01,3.2,3.9,20,50,5,1e+20,100000000000000000,32.65,32.650234
0.01,3.4,4.1,20,150,5,1e+16,10000000000000,32.49,32.490643
0.1,3.2,3.9,20,150,5,1e+16,10000000000000,32.71,32.70826
0.01,3.2,4.1,5,50,5,1e+16,100000000000000000,32.52,32.51966
0.01,3.4,4.1,20,150,50,1e+16,10000000000000,32.49,32.490643
0.1,3.4,4.1,20,150,50,1e+16,100000000000000000,32.58,32.572536
0.1,3.4,3.9,20,50,5,1e+16,10000000000000,32.71,32.708195
0.01,3.2,3.9,5,150,5,1e+20,10000000000000,32.7,32.699898
0.1,3.2,4.1,5,50,50,1e+16,10000000000000,32.56,32.560413
0.1,3.2,4.1,20,150,5,1e+16,10000000000000,32.59,32.587635
0.01,3.4,4.1,5,50,5,1e+16,100000000000000000,32.52,32.515415
0.1,3.2,3.9,20,50,50,1e+16,10000000000000,32.71,32.71083
0.1,3.2,4.1,20,150,50,1e+20,10000000000000,32.78,32.779186
0.1,3.4,3.9,20,150,50,1e+20,100000000000000000,32.65,32.650436
0.01,3.2,3.9,20,150,5,1e+16,100000000000000000,32.68,32.679924
0.01,3.4,3.9,20,50,50,1e+20,10000000000000,32.65,32.64995
0.01,3.2,3.9,20,50,5,1e+20,10000000000000,32.65,32.649986
0.01,3.4,3.9,5,150,5,1e+20,100000000000000000,32.7,32.6997
0.1,3.2,3.9,5,150,5,1e+16,100000000000000000,32.69,32.69442
0.1,3.4,3.9,5,50,50,1e+16,10000000000000,32.72,32.716465
0.1,3.2,4.1,20,50,5,1e+16,10000000000000,32.59,32.587635
0.1,3.4,4.1,5,150,50,1e+20,100000000000000000,32.75,32.749596
0.1,3.2,4.1,20,50,50,1e+16,100000000000000000,32.57,32.569145
0.01,3.2,4.1,5,150,50,1e+16,100000000000000000,32.52,32.519672
0.01,3.4,3.9,5,50,5,1e+20,10000000000000,32.7,32.699314
0.01,3.2,3.9,20,50,5,1e+16,10000000000000,32.68,32.680153
0.01,3.4,3.9,5,50,5,1e+20,100000000000000000,32.7,32.6997
0.1,3.4,3.9,20,50,50,1e+20,100000000000000000,32.65,32.650436
0.1,3.4,3.9,5,150,5,1e+16,100000000000000000,32.7,32.694866
0.1,3.2,4.1,20,50,5,1e+16,100000000000000000,32.49,32.496548
0.01,3.2,4.1,5,50,50,1e+20,10000000000000,32.76,32.76038
