Thickness,Bandgap,Electron affinity,Dielectric permittivity ,Electron mobility,Hole mobility,Acceptor density,Defect density,Actual_Efficiency,Predicted_Efficiency
0.2,3.4,2.4,5,0.05,0.6,1e+17,10000000000000,31.22,31.221645
0.05,3.2,2.0,5,0.05,0.6,1e+21,10000000000000,27.88,27.879995
0.05,3.4,2.0,5,0.2,0.6,1e+21,100000000000000000,32.69,32.689915
0.2,3.4,2.0,5,0.2,0.6,1e+21,10000000000000,32.69,32.690018
0.05,3.4,2.4,20,0.05,0.6,1e+17,100000000000000000,30.76,30.76518
0.2,3.2,2.4,20,0.2,0.2,1e+17,100000000000000000,32.56,32.55336
0.2,3.4,2.4,20,0.05,0.2,1e+21,10000000000000,32.65,32.650013
0.2,3.2,2.4,5,0.05,0.6,1e+21,100000000000000000,32.74,32.739773
0.05,3.2,2.0,5,0.2,0.2,1e+17,100000000000000000,26.94,26.94145
0.05,3.2,2.0,20,0.2,0.6,1e+21,10000000000000,27.68,27.6804
0.2,3.2,2.4,20,0.05,0.6,1e+17,10000000000000,32.57,32.562504
0.2,3.4,2.0,20,0.2,0.6,1e+21,10000000000000,32.7,32.699566
0.2,3.4,2.4,5,0.05,0.6,1e+21,10000000000000,32.69,32.689186
0.2,3.4,2.0,20,0.2,0.2,1e+17,100000000000000000,30.44,30.440004
0.2,3.2,2.0,5,0.2,0.2,1e+17,10000000000000,26.93,26.934208
0.05,3.4,2.0,5,0.05,0.6,1e+17,10000000000000,31.85,31.84997
0.2,3.4,2.0,5,0.05,0.6,1e+21,100000000000000000,32.69,32.690025
0.05,3.2,2.0,5,0.2,0.6,1e+21,100000000000000000,27.88,27.879995
0.05,3.4,2.4,5,0.05,0.2,1e+17,10000000000000,29.44,29.490288
0.05,3.2,2.0,20,0.2,0.2,1e+17,10000000000000,25.92,25.92089
0.2,3.4,2.4,5,0.2,0.2,1e+21,100000000000000000,32.65,32.649433
0.05,3.2,2.0,20,0.05,0.2,1e+21,100000000000000000,27.68,27.680407
0.05,3.4,2.4,20,0.2,0.2,1e+17,10000000000000,29.69,29.675293
0.2,3.2,2.0,20,0.2,0.2,1e+17,10000000000000,25.92,25.919895
0.05,3.2,2.4,5,0.05,0.2,1e+17,100000000000000000,32.55,32.5438
0.05,3.4,2.4,20,0.2,0.6,1e+17,10000000000000,30.76,30.760233
0.2,3.4,2.4,20,0.2,0.6,1e+17,100000000000000000,31.3,31.301039
0.2,3.4,2.0,20,0.05,0.2,1e+17,10000000000000,30.44,30.43999
0.05,3.2,2.0,5,0.2,0.2,1e+21,10000000000000,27.88,27.880028
0.2,3.2,2.4,5,0.05,0.6,1e+17,10000000000000,32.56,32.560337
0.2,3.2,2.4,20,0.2,0.2,1e+17,10000000000000,32.56,32.55241
0.05,3.4,2.4,5,0.05,0.2,1e+17,100000000000000000,29.44,29.490288
0.2,3.2,2.0,20,0.05,0.6,1e+17,10000000000000,25.92,25.921335
0.2,3.2,2.4,20,0.2,0.6,1e+21,10000000000000,32.74,32.73991
0.2,3.4,2.0,20,0.2,0.6,1e+21,100000000000000000,32.7,32.699566
0.05,3.2,2.0,20,0.2,0.2,1e+17,100000000000000000,25.92,25.92089
0.05,3.4,2.0,20,0.05,0.6,1e+21,10000000000000,32.7,32.69955
0.05,3.2,2.0,20,0.05,0.2,1e+21,10000000000000,27.68,27.680407
0.05,3.4,2.0,5,0.2,0.2,1e+21,100000000000000000,32.69,32.69182
0.2,3.2,2.0,5,0.2,0.2,1e+17,100000000000000000,26.93,26.934208
0.2,3.4,2.0,5,0.05,0.6,1e+17,10000000000000,31.85,31.849916
0.2,3.2,2.4,20,0.05,0.2,1e+17,10000000000000,32.56,32.549347
0.2,3.4,2.4,5,0.2,0.6,1e+21,100000000000000000,32.69,32.689697
0.2,3.2,2.4,20,0.05,0.6,1e+17,100000000000000000,32.57,32.562443
0.05,3.2,2.4,5,0.2,0.6,1e+17,100000000000000000,32.56,32.56177
0.05,3.4,2.0,5,0.05,0.2,1e+21,10000000000000,32.69,32.691692
0.05,3.2,2.0,20,0.05,0.2,1e+17,10000000000000,25.92,25.92068
0.05,3.4,2.0,5,0.05,0.2,1e+21,100000000000000000,32.69,32.691692
0.2,3.4,2.0,20,0.05,0.6,1e+21,100000000000000000,32.7,32.699574
0.2,3.4,2.0,5,0.2,0.2,1e+17,100000000000000000,31.85,31.851227
0.2,3.2,2.4,20,0.05,0.2,1e+17,100000000000000000,32.56,32.549232
0.05,3.2,2.4,5,0.05,0.6,1e+21,10000000000000,32.74,32.739468
